City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Bathsheba,13.2167,-59.5167,78.8,73,40,21.85,BB,1612061852
Avarua,-21.2078,-159.775,84.2,70,75,4.61,CK,1612061852
Jamestown,42.097,-79.2353,18.0,79,1,5.75,US,1612061821
Richards Bay,-28.783,32.0377,74.25,94,85,4.36,ZA,1612061646
Rikitea,-23.1203,-134.9692,79.38,72,0,11.52,PF,1612061852
Albany,42.6001,-73.9662,12.99,69,10,7.0,US,1612061655
Dingle,10.9995,122.6711,80.69,76,94,17.31,PH,1612061853
Bluff,-46.6,168.3333,58.14,73,99,11.43,NZ,1612061853
Khorixas,-20.3667,14.9667,67.59,57,84,4.38,NA,1612061853
Bethel,41.3712,-73.414,17.01,67,1,6.8,US,1612061629
Iqaluit,63.7506,-68.5145,-7.01,71,1,16.11,CA,1612061853
Nouadhibou,20.931,-17.0347,66.2,63,0,17.27,MR,1612061712
Kulachi,31.9286,70.4592,49.35,45,0,1.45,PK,1612061853
Yellowknife,62.456,-114.3525,-16.01,76,1,4.61,CA,1612061854
Hermanus,-34.4187,19.2345,61.0,90,2,9.51,ZA,1612061854
Kutulik,53.3508,102.7839,-26.93,82,100,12.1,RU,1612061854
Puerto Ayora,-0.7393,-90.3518,78.01,90,48,7.0,EC,1612061854
Dunedin,-45.8742,170.5036,59.0,79,100,20.0,NZ,1612061772
Anjozorobe,-18.4,47.8667,64.4,94,75,4.61,MG,1612061854
Zhangaözen,43.3,52.8,36.97,86,75,9.55,KZ,1612061854
Port Alfred,-33.5906,26.891,62.01,92,0,2.46,ZA,1612061653
Talnakh,69.4865,88.3972,-31.23,71,0,7.14,RU,1612061854
Cape Town,-33.9258,18.4232,68.0,82,75,8.05,ZA,1612061822
Tuktoyaktuk,69.4541,-133.0374,-34.6,67,40,4.61,CA,1612061854
Kruisfontein,-34.0033,24.7314,57.99,92,0,4.59,ZA,1612061855
Hambantota,6.1241,81.1185,77.0,94,20,6.91,LK,1612061855
Nikolskoye,59.7035,30.7861,24.8,93,75,4.47,RU,1612061855
Petukhovo,55.0692,67.9019,10.13,93,74,6.2,RU,1612061855
